course,hole,par,yards,image,tee_x,tee_y,pin_x,pin_y,target_x,target_y
Six Hills (Front 9),1,2,398,./six-hills/hole-01.jpg,0.0379,0.7933,0.9558,0.216,,
Six Hills (Front 9),2,1,196,./six-hills/hole-02.jpg,0.7961,0.855,0.0828,0.0715,,
Six Hills (Front 9),3,2,347,./six-hills/hole-03.jpg,0.9524,0.0769,0.0545,0.9194,,
Six Hills (Front 9),4,1,239,./six-hills/hole-04.jpg,0.9591,0.1329,0.0545,0.8188,,
Six Hills (Front 9),5,3,472,./six-hills/hole-05.jpg,0.0379,0.8877,0.9524,0.0893,,
Six Hills (Front 9),6,3,532,./six-hills/hole-06.jpg,0.9674,0.0998,0.0629,0.8537,,
Six Hills (Front 9),7,1,129,./six-hills/hole-07.jpg,0.846,0.1456,0.2158,0.5918,,
Six Hills (Front 9),8,2,299,./six-hills/hole-08.jpg,0.9608,0.1003,0.0911,0.7568,,
Six Hills (Front 9),9,2,233,./six-hills/hole-09.jpg,0.0545,0.9641,0.8959,0.108,,
Six Hills (Back 9),10,1,127,./six-hills/hole-10.jpg,0.8294,0.9577,0.3372,0.163,,
Six Hills (Back 9),11,2,235,./six-hills/hole-11.jpg,0.8992,0.9157,0.1659,0.143,,
Six Hills (Back 9),12,2,357,./six-hills/hole-12.jpg,0.8926,0.9449,0.1543,0.1045,,
Six Hills (Back 9),13,3,533,./six-hills/hole-13.jpg,0.0811,0.0176,0.9258,0.9192,,
Six Hills (Back 9),14,2,268,./six-hills/hole-14.jpg,0.9292,0.0725,0.1493,0.8668,,
Six Hills (Back 9),15,2,278,./six-hills/hole-15.jpg,0.0346,0.1293,0.8893,0.8161,,
Six Hills (Back 9),16,1,175,./six-hills/hole-16.jpg,0.0811,0.2011,0.8327,0.5778,,
Six Hills (Back 9),17,2,285,./six-hills/hole-17.jpg,0.9425,0.9029,0.0811,0.2351,,
Six Hills (Back 9),18,3,570,./six-hills/hole-18.jpg,0.0362,0.8725,0.9458,0.1342,,
Kilworth Springs (Front 9),1,2,349,./kilworth-springs/hole-01.jpg,,,,,,
Kilworth Springs (Front 9),2,1,141,./kilworth-springs/hole-02.jpg,,,,,,
Kilworth Springs (Front 9),3,3,494,./kilworth-springs/hole-03.jpg,,,,,,
Kilworth Springs (Front 9),4,2,414,./kilworth-springs/hole-04.jpg,,,,,,
Kilworth Springs (Front 9),5,2,358,./kilworth-springs/hole-05.jpg,,,,,,
Kilworth Springs (Front 9),6,1,140,./kilworth-springs/hole-06.jpg,,,,,,
